127.0.0.1 - - [28/Aug/2022:16:05:25 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [28/Aug/2022:16:05:28 +0900] "GET /geniebook/resources/images/home/logo_logo.png HTTP/1.1" 404 511
0:0:0:0:0:0:0:1 - - [28/Aug/2022:16:05:28 +0900] "GET /geniebook/ HTTP/1.1" 200 29366
0:0:0:0:0:0:0:1 - - [28/Aug/2022:16:05:28 +0900] "GET /geniebook/download2.do?imageFileName=%EC%84%A4%EB%AF%BC%EC%84%9D%EC%9D%98%20%EC%A1%B0%EC%84%A0%EC%99%95%EC%A1%B0%EC%8B%A4%EB%A1%9D.jpg&category=selfDevelopment1 HTTP/1.1" 200 75719
0:0:0:0:0:0:0:1 - - [28/Aug/2022:16:05:28 +0900] "GET /geniebook/download2.do?imageFileName=%EB%AA%A8%EB%AA%A8.jpg&category=children2 HTTP/1.1" 200 90605
0:0:0:0:0:0:0:1 - - [28/Aug/2022:16:05:28 +0900] "GET /geniebook/download2.do?imageFileName=%EB%AA%A8%EB%B9%84%EB%94%95.jpg&category=novel2 HTTP/1.1" 200 120863
0:0:0:0:0:0:0:1 - - [28/Aug/2022:16:05:28 +0900] "GET /geniebook/download2.do?imageFileName=%ED%99%98%ED%83%80%EC%A7%80%20%EC%97%86%EB%8A%94%20%EC%97%AC%ED%96%89.jpg&category=poem3 HTTP/1.1" 200 113725
0:0:0:0:0:0:0:1 - - [28/Aug/2022:16:05:28 +0900] "GET /geniebook/download2.do?imageFileName=%EC%A3%BD%EC%9D%8C%EC%9D%84%20%EB%B3%B4%EB%8A%94%20%EC%9E%AC%EB%8A%A5.jpg&category=novel1 HTTP/1.1" 200 210762
0:0:0:0:0:0:0:1 - - [28/Aug/2022:16:05:28 +0900] "GET /geniebook/download2.do?imageFileName=%ED%8F%B4%EB%A5%B8.jpg&category=novel3 HTTP/1.1" 200 247445
0:0:0:0:0:0:0:1 - - [28/Aug/2022:16:05:28 +0900] "GET /geniebook/resources/images/home/logo_logo.png HTTP/1.1" 404 511
0:0:0:0:0:0:0:1 - - [28/Aug/2022:16:05:28 +0900] "GET /geniebook/images/ico/favicon.ico HTTP/1.1" 404 511
0:0:0:0:0:0:0:1 - - [28/Aug/2022:16:05:51 +0900] "GET /geniebook/login HTTP/1.1" 200 9347
